Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,ALB,"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD,535444808.7,582579948,583503743.3,664342041.6,652812570.9,644344289.7,666961404.9,688422703.9,653443957.1,639726463.1
Albania,ALB,"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD,40750661.5,37869402.4,39918954.2,49993463.2,49957624.4,52982130.3,53319300.6,57053322.7,58169899.1,54749846.2
Albania,ALB,"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD,497480292.7,549928607,556739769.2,637949760,633638570.9,619884289.7,644518404.9,676572703.9,648104957.1,638038463.1
Albania,ALB,"PPG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CD,19917000,2403000,12779000,16551000,6766000,-11983000,11968000,12849000,27208000,25301000
Albania,ALB,"PPG, bonds (DIS, current US$)",DT.DIS.PBND.CD,0,0,83887728.6,0,398068194.9,100719557.2,0,0,0,499133448.5
Albania,ALB,"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,0,0,83888000,0,398068000,100720000,0,0,0,166378000
Albania,ALB,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,528628,577037.6,619591.8,1025098.9,87210107.1,90884913.3,84006058.3,1747044.4,34156657.7,29832651.6
Albania,ALB,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,65293.7,41119,9289462.1,33480063.9,33864988.3,37549078.8,33539979.7,5235761.8,5194979.3,3357504.3
Albania,ALB,"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD,593921.7,618156.6,9909053.9,34505162.8,121075095.4,128433992.1,117546038,6982806.2,39351637,33190155.9
Albania,ALB,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,0,5587000,17107000,24297000,25699000,50619000,59478000,66964000,272301000,265137000
Albania,ALB,"PPG, IBRD (TDS, current US$)",DT.TDS.MIBR.CD,0,75000,602000,633000,344000,2221000,3964000,3461000,4260000,5486000
Albania,ALB,"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,728673000,803139000,817396000,849414000,849743000,858818000,874009000,871029000,813581000,754393000
Albania,ALB,"PPG, IDA (TDS, current US$)",DT.TDS.MIDA.CD,10389000,11421000,13422000,14848000,17076000,18904000,19918000,26283000,36159000,43199000
Albania,ALB,"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD,1012363312.2,1177666348.6,1293946781.9,1467493141.9,1520727985.4,1666977843.8,1872153444.6,2004017300.5,2078909110.2,1894956171.1
